title,console,publisher,developer,total_sale,na_sale,pal_sale,japan_sale,other_sale,release_date
Super Mario Bros.    ,NES,Nintendo  ,Nintendo EAD  ,40.24m,29.08m,3.58m,6.81m,0.77m,18th Oct 85  
New Super Mario Bros.    ,DS,Nintendo  ,Nintendo EAD  ,29.85m,11.28m,9.19m,6.50m,2.89m,15th May 06  
New Super Mario Bros. Wii    ,Wii,Nintendo  ,Nintendo EAD  ,28.51m,14.53m,7.01m,4.70m,2.27m,15th Nov 09  
Super Mario World    ,SNES,Nintendo  ,Nintendo EAD  ,20.61m,12.78m,3.75m,3.54m,0.55m,13th Aug 91  
Super Mario Land    ,GB,Nintendo  ,Nintendo R&D1  ,18.14m,10.83m,2.71m,4.18m,0.42m,01st Aug 89  
Super Mario Bros. 3    ,NES,Nintendo  ,Nintendo R&D2  ,17.28m,9.54m,3.44m,3.84m,0.46m,12th Feb 90  
Super Mario 64    ,N64,Nintendo  ,Nintendo EAD  ,11.89m,6.91m,2.85m,1.91m,0.23m,26th Sep 96  
Super Mario Odyssey    ,NS,Nintendo  ,Nintendo EPD  ,11.71m,5.10m,3.75m,2.02m,0.84m,27th Oct 17  
Super Mario 3D Land    ,3DS,Nintendo  ,Nintendo EAD Tokyo  ,11.56m,5.10m,3.46m,2.15m,0.85m,13th Nov 11  
Super Mario Galaxy    ,Wii,Nintendo  ,Nintendo EAD Tokyo  ,11.40m,6.06m,3.38m,1.20m,0.76m,12th Nov 07  
New Super Mario Bros. 2    ,3DS,Nintendo  ,Nintendo  ,11.33m,3.95m,4.07m,2.59m,0.72m,19th Aug 12  
Super Mario Land 2: 6 Golden Coins    ,GB,Nintendo  ,Nintendo R&D1  ,11.18m,6.16m,2.04m,2.69m,0.29m,02nd Nov 92  
Super Mario All-Stars    ,SNES,Nintendo  ,Nintendo EAD  ,10.55m,5.99m,2.15m,2.12m,0.29m,01st Aug 93  
Donkey Kong Country    ,SNES,Nintendo  ,Rare Ltd.  ,9.30m,4.36m,1.71m,3.00m,0.23m,21st Nov 94  
Crash Bandicoot 2: Cortex Strikes Back    ,PS,Sony Computer Entertainment  ,Naughty Dog  ,7.58m,3.78m,2.17m,1.31m,0.31m,31st Oct 97  
Super Mario Galaxy 2    ,Wii,Nintendo  ,Nintendo EAD Tokyo  ,7.57m,3.59m,2.37m,0.98m,0.62m,23rd May 10  
Super Mario Bros. 2    ,NES,Nintendo  ,Nintendo EAD  ,7.46m,5.39m,1.18m,0.70m,0.19m,01st Oct 88  
Crash Bandicoot 3: Warped    ,PS,Sony Computer Entertainment  ,Naughty Dog  ,7.13m,3.68m,1.75m,1.42m,0.28m,31st Oct 98  
